Account,date,classification,value,daily_pnl,total_trades,win_count,avg_trade_size,long_count,short_count,win_rate,ls_ratio,sentiment_group,segment
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-11,Neutral,47,1901.6318190000002,52,18,1947.8190384615384,34,18,0.34615384615384615,1.8888888888888888,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-12,Neutral,46,1747.1899090000002,71,45,1623.5340845070423,26,45,0.6338028169014085,0.5777777777777777,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-13,Neutral,50,5096.967096,156,79,1561.7910256410255,67,89,0.5064102564102564,0.7528089887640449,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-14,Neutral,48,-1818.156466,166,1,1363.292951807229,63,103,0.006024096385542169,0.6116504854368932,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-15,Neutral,50,3822.79759,130,54,1798.402076923077,91,39,0.4153846153846154,2.3333333333333335,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-16,Neutral,54,321.733978,54,38,1193.8803703703704,11,43,0.7037037037037037,0.2558139534883721,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-17,Neutral,51,111.69658399999999,151,48,1591.1465562913907,75,76,0.31788079470198677,0.9868421052631579,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-18,Neutral,47,3935.153067,512,250,1823.6225390625,226,286,0.48828125,0.7902097902097902,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,44,5930.986467,406,230,1708.6227586206896,171,235,0.5665024630541872,0.7276595744680852,Fear,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-20,Neutral,49,819.221222,162,62,1142.087962962963,71,91,0.38271604938271603,0.7802197802197802,Neutral,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-21,Greed,55,4483.141317,255,116,1669.3589019607844,112,143,0.4549019607843137,0.7832167832167832,Greed,Frequent Retail
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-22,Neutral,49,1391.928432,60,41,1097.3101666666666,26,34,0.6833333333333333,0.7647058823529411,Neutral,Frequent Retail
